input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"sentiment | Besides these instances of American hostility towards Chavez, mention must be made of his oil policy within OPEC. | hostility towards",high
"arguing | Powell had stressed that Venezuela is able to, as in the past, that is to say, the era of the military rule in that country, play an effective role in America's policies in Latin America. | had stressed that Venezuela is able to, as in the past, that is to say, the era of the military rule in that country, play an effective role in America's policies in Latin America",medium
"arguing | Both the White House and the US State Department expressed ""satisfaction ""over the stepping-down of Hugo Chavez, Venezuela's constitutional president, and no one ""wept over him."" | Venezuela's constitutional president",low
"sentiment | Both the White House and the US State Department expressed ""satisfaction ""over the stepping-down of Hugo Chavez, Venezuela's constitutional president, and no one ""wept over him."" | no one ""wept over",medium high
"sentiment | Both the White House and the US State Department expressed ""satisfaction ""over the stepping-down of Hugo Chavez, Venezuela's constitutional president, and no one ""wept over him."" | expressed ""satisfaction ""over the stepping-down of",medium high
"sentiment | When questioned by a reporter ""why the United States has supported a certain cold-blooded dictator in Latin America, ""Roosevelt gave a vivid reply: This dictator ""may be a son of bitch, yet he is our (the United States) son of bitch."" | may be a son of bitch",high
"sentiment | In simpler terms, the interests of the United States are always above everything else, not only above the sovereignty of other nations, but also above the so-called values of ""democracy ""and ""human rights ""that the US always likes to dwell on. | always likes to dwell on",low medium
"arguing | Other than that, nothing will count. | Other than that, nothing will count",medium high
arguing | This reminds one of a witty remark made by US President Franklin Roosevelt in the old days. | reminds one of a witty remark made by US President Franklin Roosevelt in the old days,low
"arguing | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup. | have denied",medium
"sentiment | In simpler terms, the interests of the United States are always above everything else, not only above the sovereignty of other nations, but also above the so-called values of ""democracy ""and ""human rights ""that the US always likes to dwell on. | interests",low medium
"sentiment | According to New York Times, the United States is inclined to put friendly faces in the Presidential Palace of Latin American nations, no matter whether or not these faces are wearing army uniforms. | the United States is inclined to put friendly faces in the Presidential Palace of Latin American nations, no matter whether or not these faces are wearing army uniforms",medium
"intention | It has been reported that the United States had earlier held a secret meeting with a number of countries, promising to pay for their long due OPCW membership fees if they could vote according to the wish of the United States. | promising to",medium
"sentiment | At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system. | the least regret, ""for the breaking-off of Venezuela's democratic system",medium
sentiment | Why has the United States been picking on Chavez and Bustani all this time? | been picking on,medium
"sentiment | To the United States, what Bustani wanted to do was even more intolerable, as it would disrupt the US plan of launching a military strike against Iraq. | wanted to",medium
"sentiment | In simpler terms, the interests of the United States are always above everything else, not only above the sovereignty of other nations, but also above the so-called values of ""democracy ""and ""human rights ""that the US always likes to dwell on. | the interests of the United States are always above everything else, not only above the sovereignty of other nations, but also above the so-called values of ""democracy ""and ""human rights ""that the US always likes to dwell on",high
"sentiment | Besides, they also claimed that Chavez ""had only himself to blame ""for the coup. | claimed that Chavez ""had only himself to blame ""for the coup",low medium
"arguing | When Chavez resumed power, a senior US official in charge of national security commented that ""Chavez should reflect on himself, ""as ""his ship has been sailing towards a wrong direction for far too long."" | should reflect on himself",medium
"sentiment | Other than that, nothing will count. | Other than that, nothing will count",medium high
"sentiment | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup. | supporting",medium
"arguing | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup. | can judge from the several official statements made by the US Government both before and after the coup",low medium
"arguing | Besides, they also claimed that Chavez ""had only himself to blame ""for the coup. | claimed that Chavez ""had only himself to blame ""for the coup",medium
"sentiment | On the issue whether the coup farce staged in Venezuela not long ago had an ""American background, ""the world media have made many reports, comments, and conjectures. | coup farce staged",medium
"sentiment | At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system. | did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system",high
"arguing | At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system. | still less ""the least regret",medium
"sentiment | After Chavez took office as Venezuelan president, he has pursued an independent foreign policy, and has been out of step with the United States in many areas. | has pursued",low
"sentiment | To the United States, what Bustani wanted to do was even more intolerable, as it would disrupt the US plan of launching a military strike against Iraq. | even more intolerable",high
"sentiment | At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system. | the least regret, ""for",low medium
"sentiment | At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy, ""still less ""the least regret, ""for the breaking-off of Venezuela's democratic system. | sympathy",low medium
"sentiment | According to New York Times, the United States is inclined to put friendly faces in the Presidential Palace of Latin American nations, no matter whether or not these faces are wearing army uniforms. | is inclined to",low
"arguing | To the United States, what Bustani wanted to do was even more intolerable, as it would disrupt the US plan of launching a military strike against Iraq. | To the United States, what Bustani wanted to do was even more intolerable, as it would disrupt the US plan of launching a military strike against Iraq",medium
"sentiment | It has been reported that the United States had earlier held a secret meeting with a number of countries, promising to pay for their long due OPCW membership fees if they could vote according to the wish of the United States. | wish",low medium
"intention | To the United States, what Bustani wanted to do was even more intolerable, as it would disrupt the US plan of launching a military strike against Iraq. | plan of",low
"sentiment | This special meeting was initiated by the United States, with only one single goal to fulfill, that is, instigating OPCW member states to vote out Bustani. | goal to fulfill, that is, instigating OPCW member states to vote out",medium
"arguing | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup. | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled",medium high
"sentiment | As for Bustani, he hoped that Baghdad could become a member of the OPCW so that the United Nations could conduct arms inspections in the country. | hoped",medium
"sentiment | Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup. | supporting the oppositions",medium
"sentiment | They have pointed out: When will a ""coup ""not be called a ""coup ""? | When will a ""coup ""not be called a ""coup """,low medium
"sentiment | ""Argentina is a valued ally and friend, and the United States is monitoring developments in Argentina. | is a valued ally and friend",medium
"sentiment | We are concerned about the events, ""White House spokesman Ari Fleischer told reporters at a regular news briefing. | are concerned about",medium
sentiment | It was Argentina's worst unrest in a decade. | was Argentina's worst unrest in a decade,medium high
sentiment | Many political analysts fear a return to street violence when the devaluation measure passes and companies seek to avoid losses by raising prices for food and medicine. | seek to avoid,medium
"sentiment | Duhalde does not agree and has resisted the lobbying, his aides said. | has resisted",low medium
"arguing | To help them, Duhalde proposes converting mortgages, car loans and other consumer debt under $100,000 into pesos. | proposes converting mortgages, car loans and other consumer debt under $100,000 into pesos",low
sentiment | The economic package nonetheless was passed by Argentina's lower house late Saturday night and is expected to gain easy passage through the Senate today. | was passed,low medium
"sentiment | His package of legislation seeks -- at the expense of foreign and domestic companies -- to ease the pain on an increasingly angry middle class, the largest in South America. | at the expense of foreign and domestic companies",low medium
"sentiment | U.S. and other foreign banks, telecommunications, transport and energy companies are expected collectively to lose billions of dollars if lawmakers approve President Eduardo Duhalde's controversial economic package. | approve",medium
"arguing | ""It's a ripple effect. | It's a ripple effect",low medium
"sentiment | They want the dollar value of debt to remain constant, no matter what the devaluation of the peso. | want",medium
"intention | They fear that if Argentina can break promises made in contracts, other nations may try to do the same in less dire times. | promises",medium
"sentiment | Duhalde does not agree and has resisted the lobbying, his aides said. | lobbying",medium
arguing | Analysts estimate they stand collectively to lose more than $3 billion. | estimate they stand collectively to lose more than $3 billion,low
"sentiment | His package of legislation seeks -- at the expense of foreign and domestic companies -- to ease the pain on an increasingly angry middle class, the largest in South America. | increasingly angry",high
"arguing | For foreign companies, especially those from Spain that have invested heavily throughout Latin America, the issue goes beyond how Argentina resolves its crisis. | For foreign companies, especially those from Spain that have invested heavily throughout Latin America, the issue goes beyond how Argentina resolves its crisis",medium
"arguing | It doesn't just hit the initial direct investment in Argentina but all those suppliers throughout the chain of supply that can be impacted, ""said Meril Markely, a Houston-based director of tax and accounting services in South America for KPMG. | doesn't just hit the initial direct investment in Argentina but all those suppliers throughout the chain of supply that can be impacted",low medium
sentiment | Many political analysts fear a return to street violence when the devaluation measure passes and companies seek to avoid losses by raising prices for food and medicine. | fear,medium high
"sentiment | His package of legislation seeks -- at the expense of foreign and domestic companies -- to ease the pain on an increasingly angry middle class, the largest in South America. | seeks",low medium
"intention | Foreign companies are also trying to reverse a portion of the emergency package that proposes to end a decade of billing in dollars at the gas pump, or for fixed and cellular phone services, water and power bills and the like. | proposes to",low
sentiment | Argentina is now broke. | Argentina is now broke,medium
"agreement | Argentina's biggest political force, the Peronists, who ruled from 1989-99, withdrew support from Rodriguez Saa, accusing him of being power-hungry, and convinced other parties to accept in his stead Peronist heavyweight Senator Eduardo Duhalde. | convinced other parties to accept",low medium
"intention | But bickering politicians agreed the crisis was too serious to subject Argentina to the pressure of quick elections, which had been scheduled for March, and decided yesterday to choose an interim leader to rule until 2003, when De la Rua's mandate was to end. | decided yesterday to",low medium
"sentiment | U.S. President George W. Bush said yesterday he was worried about Argentina, but was confident the country would ""stay together ""until it chooses a new leader while offering | was worried about",medium
"sentiment | De la Rua's cowed Radical Party agreed, with senior party official Federico Storani saying it would be ""madness ""to hold elections now ""because the interim government wouldn't have the power to apply measures to get us over this crisis."" | it would be ""madness",medium
"sentiment | ""Today we are millimeters away from a civil war, ""said Leopoldo Moreau, a Radical Party congressman. | we are millimeters away from a civil war",medium high
"arguing | ""Obviously I'm worried. | Obviously",medium
"agreement | Governor Carlos Ruckauf of the vast Buenos Aires province said all parties had to ""help the Peronists in a national salvation government...with consensus that the person in charge until 2003 should be Duhalde."" | consensus",medium
"sentiment | Ordinary Argentines have been pouring into the streets night after hot summer night, banging pots and pans demanding, and eventually receiving, the resignation of De la Rua, his unpopular economy minister and aides to Rodriguez Saa who were suspected of corruption. | demanding",medium high
"sentiment | Ordinary Argentines have been pouring into the streets night after hot summer night, banging pots and pans demanding, and eventually receiving, the resignation of De la Rua, his unpopular economy minister and aides to Rodriguez Saa who were suspected of corruption. | demanding, and eventually receiving, the resignation of",high
"intention | U.S. President George W. Bush said yesterday he was worried about Argentina, but was confident the country would ""stay together ""until it chooses a new leader while offering | offering",low medium
"agreement | But bickering politicians agreed the crisis was too serious to subject Argentina to the pressure of quick elections, which had been scheduled for March, and decided yesterday to choose an interim leader to rule until 2003, when De la Rua's mandate was to end. | agreed",medium
"arguing | De la Rua's cowed Radical Party agreed, with senior party official Federico Storani saying it would be ""madness ""to hold elections now ""because the interim government wouldn't have the power to apply measures to get us over this crisis."" | saying it would be ""madness ""to hold elections now ""because the interim government wouldn't have the power to apply measures to get us over this crisis",medium high
sentiment | 'Shameful ' | Shameful,medium high
"sentiment | With New Year celebrations canceled for fear of violence in the worst crisis since the country's last military coup in 1976, security chief Juan Jose Alvarez said the capital had been ""strongly reinforced with patrols by the federal police, the coast guard and the border police."" | fear of",medium high
"arguing | De la Rua's cowed Radical Party agreed, with senior party official Federico Storani saying it would be ""madness ""to hold elections now ""because the interim government wouldn't have the power to apply measures to get us over this crisis."" | wouldn't have the power to apply measures to get us over this crisis",low medium
"sentiment | Landed with the provisional presidency for 48 hours, the head of the lower house of Congress, Eduardo Camano, called on senators and deputies to hold a legislative assembly today which should rubber-stamp Duhalde's appointment. | called on",low medium
"sentiment | The country of 36 million people is living in fear of more shop looting and violence that killed 27 people before De la Rua quit, of more riots like those that erupted on Friday and of more misery as a four-year-old recession grinds on. | misery",high
"sentiment | ""It's shameful. | It's shameful",medium high
"arguing | ""Today we are millimeters away from a civil war, ""said Leopoldo Moreau, a Radical Party congressman. | are millimeters away from a civil war",medium
"intention | He had planned to alleviate the cash crunch by minting the ""argentino ""to circulate alongside pesos, which have been backed up and pegged one-to-one to U.S. dollars for a decade, providing monetary stability and zero inflation. | had planned to",low medium
"sentiment | But the argentino would only be backed by the bricks and mortar of government buildings such as the Pink Palace, and analysts have warned it could devalue and spark inflation. | have warned",medium
"arguing | Argentina has an ever-growing rate of poverty, which defies logic given the enormous land/population ratio, with the richest soil in South America. | defies logic",low medium
"sentiment | Once again, the governing class of a South American country has proved itself utterly unable to come to terms with the needs of the population, basically because it has become removed from the reality of the country. | has proved itself utterly unable to come to terms with the needs of the population",medium high
"arguing | Once again, the governing class of a South American country has proved itself utterly unable to come to terms with the needs of the population, basically because it has become removed from the reality of the country. | has become removed from the reality of the country",medium
"sentiment | The more the poles part, the further the political and social distance between the parts. | The more the poles part, the further the political and social distance between the parts",low medium
"arguing | The fact that a right-wing party has conquered an absolute majority in Argentina proves the desperation of the people, although 41% of the population voted with spoiled or void votes. | proves the desperation of the people",medium
"sentiment | The fact that a right-wing party has conquered an absolute majority in Argentina proves the desperation of the people, although 41% of the population voted with spoiled or void votes. | The fact that a right-wing party has conquered an absolute majority in Argentina proves the desperation of the people, although 41% of the population voted with spoiled or void votes",medium
"sentiment | The fact that a right-wing party has conquered an absolute majority in Argentina proves the desperation of the people, although 41% of the population voted with spoiled or void votes. | desperation",medium high
sentiment | The real challenge facing Argentina is how its economy will manage to survive the onslaught of the international credit vultures ready to tear its members apart. | The real challenge facing Argentina is how its economy will manage to survive the onslaught of the international credit vultures ready to tear its members apart,high
agreement | IMF refuses to help Argentina pay 132 bn USD debt | refuses,medium
"sentiment | Argentina was expecting to receive 1.3 billion USD to help the state meet its immediate expenses but after an unfavourable report submitted by Thomas Reichmann, it was decided that now is not ""the right moment ""to lend any more money. | an unfavourable report",low medium
"arguing | Argentina was expecting to receive 1.3 billion USD to help the state meet its immediate expenses but after an unfavourable report submitted by Thomas Reichmann, it was decided that now is not ""the right moment ""to lend any more money. | it was decided that now is not ""the right moment ""to lend any more money",low medium
"intention | Rato explained the macroeconomic measures that were applied in Spain to De la Rua, at a time when the Argentine Government is aiming for a zero deficit. | is aiming for",medium
"sentiment | Reporting on the conversation, Elysee [presidency] spokeswoman Catherine Colonna said that the head of state had ""expressed the hope that the Argentine authorities will know how to make the choices needed for their country's future "". | had ""expressed the hope",medium
"sentiment | ""France, like its partners, is in contact with international financial institutions, ""the president said, ""and is ready to support the action of the IMF with a view to attaining a solution to this crisis."" | is ready to support",medium
"intention | He declined to comment further but said the country would continue to honor its commitment with the International Monetary Fund, which is coordinating some $5 billion in aid to help the country overcome its current economic crisis in return for reforms. | would continue to honor its commitment with",low medium
"arguing | In Argentina's defense, Malan says that Brazil's Mercosur partner ""has sought to define with clarity the fundamental issues of its basic regimes - foreign exchange (floating exchange rate regime), monetary (they intend, after phase of transition, to define their inflation goal system, which was important to Spain from 1995-1998) and fiscal."" | was important to Spain from 1995-1998",low
sentiment | The Bank of Spain Governor did not want to detail what points Argentina should deal with to expand its program. | did not want,medium
"arguing | ""We want to keep alight the flame of a single currency in the region in future, even if a distant one, ""but until then, ""there is the job of consolidating the institutions in the political and institutional sphere, of productive restructuring and of modernizing the State ""in six countries - Brazil, Argentina, Uruguay, Paraguay, Chile and Bolivia. | but until then, ""there is the job",low
"intention | In Argentina's defense, Malan says that Brazil's Mercosur partner ""has sought to define with clarity the fundamental issues of its basic regimes - foreign exchange (floating exchange rate regime), monetary (they intend, after phase of transition, to define their inflation goal system, which was important to Spain from 1995-1998) and fiscal."" | intend",low
"sentiment | ""We do not want to yield on Brazil's having its own currency, its regional currency. | do not want",medium
"sentiment | Malan criticizes the stance taken by multilateral institutions like the IMF, who are asking for reforms in Argentina before the country can receive financial help. | are asking for",low
"arguing | This, the Minister insists, is why ""it makes no sense to demand that everything be done in one or two weeks, ""referring to what the IMF and some governments, like that of the United States, are asking. | This, the Minister insists, is why ""it makes no sense",medium high
"sentiment | The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable."" | as being unsolvable",medium
"sentiment | Dollarization is a not very trivial process of negotiation with the country that issues the currency, in this case the dollar, involving complex questions about the role of ultimate lender, the role of the Federal Reserve in the supervision and regulation of the banks in the dollarized country."" | is a not very trivial process",low medium
"arguing | Malan defends a different posture: ""to set aside the notion of cynicism, skepticism, that things will not work out, ""and believe, like the Europeans, that there is a future to be built by the Mercosur countries and Chile and Bolivia, the associate members. | believe, like the Europeans, that there is a future to be built by",medium
"sentiment | The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable."" | dedicate themselves to lamenting",high
"intention | In Argentina's defense, Malan says that Brazil's Mercosur partner ""has sought to define with clarity the fundamental issues of its basic regimes - foreign exchange (floating exchange rate regime), monetary (they intend, after phase of transition, to define their inflation goal system, which was important to Spain from 1995-1998) and fiscal."" | has sought",low
"sentiment | According to the Minister, Mercosur managed, after an ""enormous technical effort,'something that did not exist in the region two years ago - the harmonization of the statistics of the member countries, Bolivia and Chile, which were not comparable before. | managed, after an ""enormous technical effort",medium
"arguing | The Minister says that after the October elections in Brazil, it will be necessary to make more progress in the process of making changes to which the country has been committed over the past years. | it will be necessary to make more progress",medium
"sentiment | Malan criticizes the stance taken by multilateral institutions like the IMF, who are asking for reforms in Argentina before the country can receive financial help. | criticizes",medium
"sentiment | The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable."" | as being insurmountable",high
"arguing | ""The priority now is to unshackle the credit system, for there is no modern economy that can function without credit. | The priority now is to unshackle the credit system, for there is no modern economy that can function without credit",medium
"sentiment | The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable."" | an ability to look decades ahead and not let oneself get beaten down",medium high
"sentiment | Whoever says that these are small steps is incapable of recognizing the European Union's experience, ""the Minister says. | are small steps",medium
sentiment | He suggests the definition of a series of priorities. | suggests,low medium
"sentiment | Malan defends a different posture: ""to set aside the notion of cynicism, skepticism, that things will not work out, ""and believe, like the Europeans, that there is a future to be built by the Mercosur countries and Chile and Bolivia, the associate members. | to set aside the notion of cynicism, skepticism, that things will not work out",medium
"sentiment | The Minister believes that tension between Brazil and Argentina, resulting from the floating of the real in 1999, will tend to disappear because the neighboring country is opting for a floating exchange rate system. | tension between",low medium
"arguing | Given the degree of uncertainty that prevails over the inflation, foreign exchange and interest rates and over the economy's real Gross Domestic Product (GDP) this year, the approach should not be the traditional one, the Finance Minister says. | Given the degree of uncertainty that prevails over the inflation, foreign exchange and interest rates and over the economy's real Gross Domestic Product (GDP) this year, the approach should not be the traditional one",medium
"arguing | To Malan, however, more important than the harmonization of the parameters and the little Maastricht is the search for convergence of policies in a broader sense - structural, macro and microeconomic ones. | more important than the harmonization of the parameters and the little Maastricht is",medium
"sentiment | Whoever says that these are small steps is incapable of recognizing the European Union's experience, ""the Minister says. | is incapable of recognizing the European Union's experience",medium
"sentiment | In Argentina's defense, Malan says that Brazil's Mercosur partner ""has sought to define with clarity the fundamental issues of its basic regimes - foreign exchange (floating exchange rate regime), monetary (they intend, after phase of transition, to define their inflation goal system, which was important to Spain from 1995-1998) and fiscal."" | In Argentina's defense",low medium
"sentiment | The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable."" | hopes",medium
"sentiment | This, the Minister insists, is why ""it makes no sense to demand that everything be done in one or two weeks, ""referring to what the IMF and some governments, like that of the United States, are asking. | are asking",low
"sentiment | But Caruana said that the banks ""did their homework ""and made provisions for their investments in Argentina. | did their homework",low
"arguing | According to Malan, another approach is necessary in this period of transition of the Argentine crisis. | another approach is necessary",medium
"sentiment | Violent attacks at the Argentine legislature sounded alarm bells in the Brazilian political arena, to the point that senators of the official and opposition parties defended more concrete support from the Brazilian Government for Argentina. | defended",medium
sentiment | It is dangerous! | is dangerous!,high
agreement | Political scientists agree: Argentina lacks a political force that can stand up to Peronism and Radicalism. | agree,low medium
"sentiment | He asked that Brazil promote meetings in the South American continent, or serve as intermediary in negotiations with international institutions. | asked",low
"sentiment | For Jose Agripino Maia, PFL [Liberal Front Party] leader in the Senate, although Brazil has detached itself from Argentina, it should not disregard the message of the crises that is devastating the neighboring country. | disregard",low
"arguing | Everything depends on how long it takes for Peronism to burn out and new leadership to emerge, ""Sader said. | Everything depends on how long it takes for Peronism to burn out and new leadership to emerge",medium
"sentiment | Sader affirmed, ""The new policy of (US President George W.) Bush is to permit decay. | The new policy of (US President George W.) Bush is to permit decay",medium high
"sentiment | I hope that this can alert the Brazilian Government to revise its relationship with the IMF."" | hope",medium
"arguing | For Jose Agripino Maia, PFL [Liberal Front Party] leader in the Senate, although Brazil has detached itself from Argentina, it should not disregard the message of the crises that is devastating the neighboring country. | should not disregard the message of the crises that is devastating the neighboring country",medium
"arguing | USP [University of Sao Paulo] professor Emir Sader believes that Peronists will remain in power after the elections, slowly growing weaker, allowing room for the emergence of new leadership. | believes that Peronists will remain in power after the elections, slowly growing weaker, allowing room for the emergence of new leadership",medium
"sentiment | Brazil cannot stand by with its hands folded just watching all of this, ""Genoino affirmed. | cannot stand by with its hands folded just watching all of this",high
sentiment | Political scientists agree: Argentina lacks a political force that can stand up to Peronism and Radicalism. | lacks a political force that can stand up to Peronism and Radicalism,medium
sentiment | This is viewed as the main impediment to the establishment of political order in the country. | is viewed as the main impediment to the establishment of political order in the country,medium
arguing | Deputy Jose Genoino (Workers Party -- Sao Paulo) said that the wave of looting threatens Argentine democracy. | threatens Argentine democracy,medium
arguing | Analysts: Lack of Alternative for Power | Lack of Alternative for Power,medium
"sentiment | For Jose Agripino Maia, PFL [Liberal Front Party] leader in the Senate, although Brazil has detached itself from Argentina, it should not disregard the message of the crises that is devastating the neighboring country. | has detached itself from",low
"arguing | Senator Heloisa Helena (Workers Party -- Alagoas) said that Latin American countries should always join together to speak with international economic institutions, in order to maintain autonomy in their economies: ""Now we see what happens when one country abdicates its financial autonomy. | should always join together to speak with international economic institutions, in order to maintain autonomy in their economies",medium
"arguing | ""The political warning must be heeded. | political warning must be heeded",high
arguing | Political scientists agree: Argentina lacks a political force that can stand up to Peronism and Radicalism. | lacks a political force that can stand up to Peronism and Radicalism,low medium
"arguing | Either one pays attention to the will of the people or what happened will happen.""Maia commented. | Either one pays attention to the will of the people or what happened will happen",medium high
"arguing | Brazil cannot stand by with its hands folded just watching all of this, ""Genoino affirmed. | cannot stand by with its hands folded just watching all of this",high
"arguing | For the political scientist, Argentina cannot wait for assistance from the American Government. | cannot wait for assistance from the American Government",medium high
"sentiment | According to the reporter, the Brazilian president apparently advised De la Sota to move forward the elections, initially slated for March 2002. | advised",low
"sentiment | ""This is an unpredictable, anarchical situation. | This",high
sentiment | The concern now is security. | The concern,low medium
"arguing | ""Cardoso told De la Sota that the images of the protests at the Plaza de Mayo show a country on the verge of a civil war, ""one of the channel's journalists commented. | show a country on the verge of a civil war",low medium
"sentiment | ""Cardoso told De la Sota that the images of the protests at the Plaza de Mayo show a country on the verge of a civil war, ""one of the channel's journalists commented. | protests",medium high
"sentiment | Senator Heloisa Helena (Workers Party -- Alagoas) said that Latin American countries should always join together to speak with international economic institutions, in order to maintain autonomy in their economies: ""Now we see what happens when one country abdicates its financial autonomy. | Now we see what happens when one country abdicates its financial autonomy",medium high
sentiment | Deputy Jose Genoino (Workers Party -- Sao Paulo) said that the wave of looting threatens Argentine democracy. | threatens Argentine democracy,medium high
"arguing | Sader affirmed, ""The new policy of (US President George W.) Bush is to permit decay. | is to permit decay",low medium
"sentiment | For Jose Agripino Maia, PFL [Liberal Front Party] leader in the Senate, although Brazil has detached itself from Argentina, it should not disregard the message of the crises that is devastating the neighboring country. | is devastating the neighboring country",high
"arguing | He noted, ""Brazil should adopt an open posture with relation to Argentina, which is experiencing a tragedy."" | should adopt an open posture with relation to Argentina",medium
arguing | This is viewed as the main impediment to the establishment of political order in the country. | is viewed as the main impediment to the establishment of political order in the country,medium
"agreement | Anyway, now in addition to the IMF, the US government, as the biggest investor in Argentina's economy, is ignoring its commitments in the current situation. | ignoring",low medium
"intention | Anyway, now in addition to the IMF, the US government, as the biggest investor in Argentina's economy, is ignoring its commitments in the current situation. | commitments",medium
"arguing | Although IMF officials deny any connection their policies and the current situation, reports indicate that now an IMF executive delegation is actively making changes to Argentina's economy. | deny",medium high
arguing | Another important point is Argentina's connections with the global economy. | Another important point is,low medium
"sentiment | What is clear is that Argentina's paralyzed economy was unable to tolerate the government's hardline policies, which finally resulted in the situation that we are witnessing today. | paralyzed",medium
"sentiment | Riots and widespread strikes, attacks on government buildings, and the plundering of stores have left scores of dead and casualties. | Riots and widespread strikes",high
"sentiment | 3 -- Finally, what fate awaits Argentina's crisis-stricken economy? | crisis-stricken",medium
"sentiment | Some $76 billion of the $132 billion debt is accounted for by foreign loans, which were lavished on Argentina. | Some $76 billion of the $132 billion debt is accounted for by foreign loans, which were lavished on Argentina",low medium
sentiment | Public dissatisfaction and an increase in the people's anger in this country have finally resulted in the collapse of Fernando Delaroe's government following several days of protest. | dissatisfaction,medium
"sentiment | Because of the misguided policies of Argentina's politicians, Argentina is in a state of stagnation for a fourth consecutive years. | Because of the misguided policies of Argentina's politicians, Argentina is in a state of stagnation for a fourth consecutive years",medium high
sentiment | The main problem that caused the recent shock is also a result of the restrictive economic policies that have been adopted on the advice of IMF experts. | The main problem that caused the recent shock is also a result of the restrictive,low medium
"arguing | Beijing, December 20 (XINHUA) -- China believes that the Argentine government and people will overcome the current difficulties, revive their economy and maintain their social stability, said Chinese Foreign Ministry Spokeswoman Zhang Qiyue here Thursday. | believes that the Argentine government and people will overcome the current difficulties, revive their economy and maintain their social stability",medium
"sentiment | Beijing, December 20 (XINHUA) -- China believes that the Argentine government and people will overcome the current difficulties, revive their economy and maintain their social stability, said Chinese Foreign Ministry Spokeswoman Zhang Qiyue here Thursday. | believes that the Argentine government and people will overcome the current difficulties, revive their economy and maintain their social stability",low medium
"sentiment | China is very concerned about this matter, and the Chinese Embassy in Argentina has asked the Argentine government to ensure the life and property safety of the overseas Chinese and Argentine citizens with Chinese origin, Zhang said. | is very concerned about",high
"sentiment | China is very concerned about this matter, and the Chinese Embassy in Argentina has asked the Argentine government to ensure the life and property safety of the overseas Chinese and Argentine citizens with Chinese origin, Zhang said. | has asked",low
"sentiment | This weekend, the agency bade farewell to administrator Daniel Goldin, who resigned after 10 years in office - an agency record. | bade farewell to",low
sentiment | Future US modules were red-penciled. | were red-penciled,low
"sentiment | Yet the agency's objectives have been growing less visionary since then, says John Pike, director of GlobalSecurity.org in Alexandria, Va.""Webb's mandate was to put a man on the moon. | have been growing less visionary since then",low medium
"sentiment | And this month, a task force on the project's budget concluded that NASA's cost estimate for finishing the ""core ""station between 2002 and 2008 ""is not credible."" | is not credible",low medium
"sentiment | The project's costs, like those of the space-shuttle program before it, have ballooned far beyond original estimates - from an initial $17.4 billion to more than $30 billion. | have ballooned far beyond original estimates",medium high
"agreement | To cut the station's scope, they argue, violates international agreements and would essentially close off international use of the station. | agreements",low
