input,output
sentiment | Kao said US President George W. Bush's trip to Shanghai is mainly to attend the annual informal leadership meeting of the Asia-Pacific Economic Cooperation (APEC) forum to seek expansion of the anti-terrorism coalition. | to seek,low medium
"intention | Kao said several senior Bush administration officials, including Secretary of State Colin Powell, has also made reassurances that the United States would not seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan. | has also made reassurances that the United States would not",medium
"sentiment | Kao said several senior Bush administration officials, including Secretary of State Colin Powell, has also made reassurances that the United States would not seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan. | support for",medium
"sentiment | Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the ""one China ""policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait. | desire",medium
"sentiment | Stanley Kao, director of MOFA's North American Affairs Department, made the remarks amid mounting concerns about the possibility that the United States could compromise Taiwan's interests in exchange for mainland China's cooperation in the current US-led war on global terrorism. | mounting concerns",medium high
"sentiment | Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the ""one China ""policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait. | disputes between",medium
"arguing | In his view, Kao said the cross-strait balance of military power is critical to the ROC's national security. | is critical to the ROC's national security",medium
"sentiment | Afghanistan is now under US bombardment for refusing to hand over the chief suspect in the Sept. 11 attacks on New York and Washington, Saudi-born dissident Osama bin Laden [Usama Bin Ladin]. | refusing",medium
"arguing | Noting that the United States has consistently attached great importance to Asia-Pacific regional stability and security, Kao said the robust US arms sales package to Taiwan struck in April this year signifies that the United States is serious about security in the region. | signifies that the United States is serious about security in the region",low medium
"sentiment | ""We believe in the sincerity of the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue, ""Kao said, adding that relevant US officials have on many occasions reaffirmed similar commitments to the ROC. | reaffirmed",low
"arguing | The US official told reporters traveling with Powell en route to Shanghai for an APEC meeting that he unequivocally denied the Washington Post report that said the Bush administration was considering such a move, specifically to allow sales of spare parts for mainland Chinese-owned helicopters as another weapon in the US war on terrorism. | unequivocally denied",high
"sentiment | Noting that the United States has consistently attached great importance to Asia-Pacific regional stability and security, Kao said the robust US arms sales package to Taiwan struck in April this year signifies that the United States is serious about security in the region. | has consistently attached great importance to",medium high
"arguing | 18 (CNA) -- The Republic of China government believes in the US commitment to separating its anti-terrorism campaign from the Taiwan Strait issue, a senior Ministry of Foreign Affairs (MOFA) official said Thursday. | believes in the US commitment to separating its anti-terrorism campaign from the Taiwan Strait issue",medium
"expressive | Its harm is not limited to the incident itself, but lies in the fact that it is an important step for the Taiwanese authorities to promote its ""gradual Taiwan independence."" | it is an important step",medium
"expressive | In May 2001, he claimed that his ""conformity theory ""was not really for unification, nor it was for conformity."" | nor it was for",low
"expressive | Irresponsible promotion of ""Taiwan independence ""and intensification of cross-strait ties are definitely not blessings to Taiwan. | definitely not blessings",high
"expressive | In fact, the economic difficulties in the island, the political deadlock, and the public's confidence crisis should be the agenda for the Taiwanese authorities'top concern. | confidence crisis",medium
"expressive | Any type of ""Taiwan independence ""is absolutely not permitted. | absolutely not permitted",high
"expressive | Irresponsible promotion of ""Taiwan independence ""and intensification of cross-strait ties are definitely not blessings to Taiwan. | Irresponsible",medium
"expressive | Its harm is not limited to the incident itself, but lies in the fact that it is an important step for the Taiwanese authorities to promote its ""gradual Taiwan independence."" | harm is not limited to the incident itself",medium
"expressive | In fact, the economic difficulties in the island, the political deadlock, and the public's confidence crisis should be the agenda for the Taiwanese authorities'top concern. | In fact",low
"expressive | However, one month later, he changed his tone and said that the ""92 consensus ""was a ""consensus ""without any consensus. | was a ""consensus ""without any consensus",high
"expressive | The promotion of ""gradual Taiwan independence ""by the leader of the Taiwanese authorities is from his misjudgment of two situations: the internal situation and the external situation. | misjudgment",medium
expressive | But the Taiwanese authorities exaggerated Sino-US conflicts and placed hopes on seeking benefits from such conflicts. | exaggerated,medium
"expressive | This is another dangerous signal of the leader of the Taiwanese authorities promoting ""gradual Taiwan independence ""and an attempt to split the motherland. | split the motherland",medium
"expressive | In November, he manufactured the so-called ""three acknowledgements and four suggestions ""and then claimed that the two sides of the strait ""are not subordinated to each other, and do not represent each other."" | do not represent each other",low
"expressive | The mainland has the greatest sincerity of peaceful unification with Taiwan, and also strong determination and necessary preparations for preventing ""Taiwan independence ""and all separatist activities. | greatest sincerity of peaceful unification",high
"expressive | In his 2001 New Year's speech, he proposed the ambiguous ""conformity theory, ""which takes the tone of unification but promotes independence in nature. | ambiguous",medium
"expressive | In May 2001, he claimed that his ""conformity theory ""was not really for unification, nor it was for conformity."" | was not really for",low
"expressive | We should notice that the addition to ""passports ""is not an isolated incident. | should notice",low
"expressive | The development of these events fully indicates that the leader of the Taiwanese authorities has not only not given up his stance of ""Taiwan independence ""but also used the method of nibbling to promote ""gradual Taiwan independence."" | not only",medium
"expressive | If the Taiwanese authorities cling obstinately to its course and continue its steps of ""gradual Taiwan independence, ""they will only intensify cross-strait relations and will certainly eat their own bitter fruit. | will only intensify",medium
"expressive | In his 2001 New Year's speech, he proposed the ambiguous ""conformity theory, ""which takes the tone of unification but promotes independence in nature. | promotes",low
"expressive | In fact, the economic difficulties in the island, the political deadlock, and the public's confidence crisis should be the agenda for the Taiwanese authorities'top concern. | deadlock",medium
"expressive | Support from Lee Teng-hui and overseas ""Taiwan independence ""forces makes him believe that ""the situation is great."" | the situation is great",high
expressive | It is worth special attention that the mainland's stance on the Taiwan issue is very clear and has never changed. | It is worth special attention,medium
"expressive | All these activities to ""change the name of Taiwan, ""along with the Taiwanese authorities'comprehensive policies of ""separating from China ""in ideology, culture, history, education and the media, are all attempts to separate Taiwan from China, and change its status as a part of China. | All these",low
"expressive | All these activities to ""change the name of Taiwan, ""along with the Taiwanese authorities'comprehensive policies of ""separating from China ""in ideology, culture, history, education and the media, are all attempts to separate Taiwan from China, and change its status as a part of China. | all",low
"expressive | In August, he preached again that ""unification is not necessarily the only and final choice."" | not necessarily the only and final choice",high
"expressive | Bush redefined China as a ""strategic competitor ""and increased the sales level of arms to Taiwan. | strategic competitor",low
"expressive | The row between the United States and China on the US missile defense program, China's suppression of the religious group Falungong, and the collision of the US and Chinese military aircraft was only becoming worse. | only becoming worse",medium
expressive | Bush's China visit this time also seemed as if the United States was returning to the engagement policy it took toward China during the Clinton administration era. | seemed as if,low
"expressive | Bush's visit to China was set on the date of the 30th anniversary of ""former US President Richard Nixon's visit to China, ""which is said to be the ""week that changed the world."" | week that changed the world",high
expressive | It is preferable to gain China's understanding and cooperation on antiterrorism and strategic issues. | preferable,low
"expressive | This means that regardless of such points of confrontation, the two countries will develop a relationship of cooperation. | This means that regardless",low
"expressive | This displayed intentions of both the United States and China to make Bush's China visit a ""new milestone ""for the two countries'relations based on the trust built by Nixon's visit (as US Ambassador to China Clark Randt cited). | new milestone",medium
"expressive | For the US-China cooperation to become a ""new milestone ""for peace and stability, it is necessary for China to become a nation with higher transparency. | higher transparency",medium
expressive | It is not that China is only making a dynamic economic progress and becoming a military superpower. | It is not that,low
"expressive | For the US-China cooperation to become a ""new milestone ""for peace and stability, it is necessary for China to become a nation with higher transparency. | it is necessary",medium
"expressive | Washington had guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing, Taiwan's foreign ministry spokeswoman Chang Siao-yueh told AFP. | would not dilute its backing",medium
"expressive | The sale infuriated Beijing which regards Taiwan an integral part of its territory awaiting reunification, by force if necessary. | an integral part",medium
"expressive | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | harmed",medium
"expressive | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | failed to defend",medium
"expressive | Wu said he believed overall Taiwan interests were protected from knocks by the Bush administration because the island enjoyed ""strong support ""among decision-makers in the White House, the State Department and the Department of Defense. | because",low
"expressive | TAIPEI, Feb 17 (AFP) - Taiwan is keeping a wary eye on US President George W. Bush's China visit despite assurances by Washington that Taipei's interests would not be traded away during the trip. | would not be traded away",low
"expressive | Wu defended Taipei's cautious approach, warning that Beijing could try to use the situation to gain the upper hand. | could",low
"expressive | Clinton said he did not support independence for Taiwan, the policy of ""two Chinas ""or ""one China, one Taiwan ""and agreed that Taiwan should not be a member of any organisation to which statehood is a requirement. | should not be a member",medium
"expressive | Wu defended Taipei's cautious approach, warning that Beijing could try to use the situation to gain the upper hand. | gain the upper hand",medium
"expressive | ""He made it clear that relations between Taipei and Washington are getting better, ""said Joseph Wu, deputy director of National Chengchi University's Institute of International Relations. | are getting better",low
"expressive | ""Such a mindset will impair the healthy interaction between Taiwan and the People's Republic of China."" | Such a mindset will impair",medium
"expressive | ""As usual, Beijing will try its best to persuade President Bush into saying something disadvantageous to Taiwan, ""she said ahead of Bush's Asian trip. | will try its best",low
expressive | Wu defended the government's cautious approach warning that Beijing could try to use the situation to gain the upper hand. | use the situation to gain the upper hand,medium
"expressive | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | failed",medium
"expressive | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | would be harmed",medium
"expressive | The sale infuriated Beijing which regards Taiwan an integral part of its territory awaiting reunification, by force if necessary. | integral",medium
"expressive | ""He made it clear that relations between Taipei and Washington are getting better, ""said Joseph Wu, deputy director of National Chengchi University's Institute of International Relations. | getting better",medium
expressive | Compounding fears is speculation that Bush may sign a fresh communique with China in return for Beijing's support on issues such as anti-terrorism and prevention of nuclear proliferation. | may,low
"expressive | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | unfavorable",medium
"sentiment | Wu said he believed overall Taiwan interests were protected from knocks by the Bush administration because of the island's ""strong support ""from decision-makers in the White House, State Department and Department of Defense. | strong support",medium high
sentiment | The president has called for a peaceful resolution of the lingering sovereignty dispute between Taipei and Beijing which split at the end of a civil war in 1949. | called for,low medium
"arguing | Washington had guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing, Taiwan's foreign ministry spokeswoman Chang Siao-yueh told AFP. | guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing",medium
"sentiment | TAIPEI, Feb 17 (AFP) - Taiwan is keeping a wary eye on US President George W. Bush's China visit despite assurances by Washington that Taipei's interests would not be traded away during the trip. | is keeping a wary eye on",low medium
"arguing | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei",medium
"sentiment | Clinton said he did not support independence for Taiwan, the policy of ""two Chinas ""or ""one China, one Taiwan ""and agreed that Taiwan should not be a member of any organisation to which statehood is a requirement. | did not support",medium
"sentiment | Washington had guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing, Taiwan's foreign ministry spokeswoman Chang Siao-yueh told AFP. | backing for",medium
"sentiment | The top US official handling Taiwan affairs, Richard Bush -- no relation of the president -- also moved to ease Taipei's concerns during his visit to the island last month. | concerns",medium
"sentiment | ""Taiwan's interest would be harmed if the Chinese leaders took advantage of the occasion by making remarks unfavorable to Taipei and Washington failed to defend Taipei, ""Wu warned. | defend",medium
sentiment | Wu defended the government's cautious approach warning that Beijing could try to use the situation to gain the upper hand. | warning,medium
"arguing | TAIPEI, Feb 17 (AFP) - Taiwan is keeping a wary eye on US President George W. Bush's China visit despite assurances by Washington that Taipei's interests would not be traded away during the trip. | assurances by Washington that Taipei's interests would not be traded away during the trip",medium
"sentiment | Washington had guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing, Taiwan's foreign ministry spokeswoman Chang Siao-yueh told AFP. | guaranteed Taipei that it would not dilute its backing for the island in return for better relations with Beijing",medium
"sentiment | TAIPEI, Feb 17 (AFP) - Taiwan is keeping a wary eye on US President George W. Bush's China visit despite assurances by Washington that Taipei's interests would not be traded away during the trip. | assurances by Washington that Taipei's interests would not be traded away during the trip",medium
"intention | Taipei was angered when then-president Bill Clinton pledged the ""three nos ""during his China visit in 1998. | pledged the ""three nos """,medium
"agreement | The first was issued during then-president Richard Nixon's landmark trip to China in 1972 while another one, signed during the Ronald Reagan era, agreed to gradually reduce arms sales to Taiwan. | agreed to",medium
sentiment | Wu defended the government's cautious approach warning that Beijing could try to use the situation to gain the upper hand. | defended,low medium
"expressive | But the 11 September event makes Bush aware that the major enemy of the United States is terrorist groups, that US security is threatened, and that without support from other big countries, it will be difficult for the United States to win the war against terrorism. | the major enemy",high
"expressive | A Ta Kung Pao editorial pointed out that obviously Bush did not make these remarks out of courtesy to the hosts, but that development and changes in China did indeed leave a deep impression on Bush and his party. | obviously",medium
"expressive | But the 11 September event makes Bush aware that the major enemy of the United States is terrorist groups, that US security is threatened, and that without support from other big countries, it will be difficult for the United States to win the war against terrorism. | makes Bush aware",medium
"expressive | The United States is greatly responsible for the slow settlement of the Taiwan issue and for the ""Taiwan independence ""forces running rampant. | running rampant",high
"expressive | But the 11 September event makes Bush aware that the major enemy of the United States is terrorist groups, that US security is threatened, and that without support from other big countries, it will be difficult for the United States to win the war against terrorism. | threatened",high
"expressive | On 22 February, in a speech at Tsinghua University, Bush again stated that ""it is very hard for me to use words to describe the earth-shaking changes in China."" | very hard for me to use words to describe",medium
"expressive | There is a saying that ""people in the world work so hard to pursue gains.""That Bush chooses to increase contacts with China shows that it is impossible for the United States to deal with global issues alone, nor can it afford to ignore China's major role in international affairs. | people in the world work so hard to pursue gains",medium
expressive | This will have a certain impact on the US Government's readjustment and implementation of policies toward China in the future. | a certain impact,medium
"expressive | The Chinese people not only understand American democracy, freedom, religions, and human rights, they also know quite well about American social, economic, and political problems, which is beyond Bush's imagination. | not only",low
"expressive | That's why a student asked Bush yesterday how to handle social problems including the problem of the violation of human rights, which is getting worse day after day in the! United States. | That's why",low
"expressive | The US Government should earnestly abide by the three Sino-US joint communiques and relevant commitments, and properly handle the Taiwan issue from a strategic and long-term perspective. | should earnestly abide",high
"expressive | In an editorial, Wen Wei Po noted that 30 years ago Nixon developed strategic relations with China due to the US strategic interests and to the need to deal with the Soviet Union, the United States'biggest enemy. | the United States'biggest enemy",low
"expressive | In an editorial, Hong Kong's Shang Pao pointed out that in the course of reform and opening up, the United States is a country that the Chinese people want to understand the most and that the United States is a country that is easiest to understand. | the United States is a country that is easiest to understand",medium
"expressive | Not only today, 10 years ago or even in the early days of China's reform and opening up, the broad mass of the Chinese people, young college students in particular, know about US values. | Not only today",low
"expressive | Bush then rediscovered the importance of China -- a big country on the other side of the globe -- and tries to develop ""constructive cooperative relations ""with China since it is in accord with US strategic interests. | since",low
"expressive | Not only today, 10 years ago or even in the early days of China's reform and opening up, the broad mass of the Chinese people, young college students in particular, know about US values. | even",low
"expressive | Hong Kong's public opinion hold that Bush's visit to China is like delivering a message to the ""China threat ""advocates in the US Republican Party: Now is the time to engage China in a positive manner. | is like delivering a message",medium
"expressive | This is of vital importance to the situation in the Taiwan Strait, to peace and stability in the Asia-Pacific region, as well as to the healthy development of Sino-US relations. | to the healthy development of Sino-US relations",high
"expressive | A Ta Kung Pao editorial pointed out that obviously Bush did not make these remarks out of courtesy to the hosts, but that development and changes in China did indeed leave a deep impression on Bush and his party. | did not make these remarks out of courtesy to the hosts",high
"expressive | Bush then rediscovered the importance of China -- a big country on the other side of the globe -- and tries to develop ""constructive cooperative relations ""with China since it is in accord with US strategic interests. | the importance of China",high
expressive | The US Government should realize that the Taiwan issue is the most important and most sensitive core issue in Sino-US relations. | is the most important and most sensitive core issue,high
"expressive | This is of vital importance to the situation in the Taiwan Strait, to peace and stability in the Asia-Pacific region, as well as to the healthy development of Sino-US relations. | of vital importance",high
"expressive | There is a saying that ""people in the world work so hard to pursue gains.""That Bush chooses to increase contacts with China shows that it is impossible for the United States to deal with global issues alone, nor can it afford to ignore China's major role in international affairs. | nor can it afford",high
"expressive | There is a saying that ""people in the world work so hard to pursue gains.""That Bush chooses to increase contacts with China shows that it is impossible for the United States to deal with global issues alone, nor can it afford to ignore China's major role in international affairs. | shows that it is impossible for the United States to deal with global issues alone",high
"expressive | Hong Kong, 23 Feb (ZTS) -- US President Bush concluded a two-day working visit to China, during which he exchanged in-depth views on Sino-US relations and on major international and regional issues with the Chinese leaders, and reached extensive and important consensus. | extensive and important",high
"expressive | Thirty years later, the United States now considers itself the world's sole superpower. | the world's sole superpower",high
expressive | This is to show the world that Sino-US relationship continues to move ahead from the existing basis. | continues to move ahead from the existing basis,low
"expressive | That's why a student asked Bush yesterday how to handle social problems including the problem of the violation of human rights, which is getting worse day after day in the! United States. | which is getting worse day after day",high
expressive | The US Government should realize that the Taiwan issue is the most important and most sensitive core issue in Sino-US relations. | should realize,medium
expressive | The Taiwan issue was made prominent during Premier Zhu Rongji's meeting with Bush and in the questions posed to Bush by Tsinghua students. | was made prominent,medium
"expressive | We see that Bush stopped referring to the ""strategic competitor ""remark during his visit in China, since a confrontation between the two biggest countries on both sides of the Pacific brings no good to world peace and economic development. | brings no good to world peace and economic development",high
"expressive | The US Government should earnestly abide by the three Sino-US joint communiques and relevant commitments, and properly handle the Taiwan issue from a strategic and long-term perspective. | properly",high
"expressive | The problem, he went on, is that the so-called ""one China ""principle cherished by Beijing ""makes the Republic of China vanish.""Therefore, as a guardian of the ROC sovereignty, dignity and security, he cannot accept the principle. | Therefore",low
"expressive | Noting that President Chen Shui-bian has on many occasions expressed goodwill to mainland China, Tsai said so long as Beijing leaders can carefully mull the significance of Chen's statements on cross-strait affairs, particularly the ""one China ""issue, there should be opportunities for the two sides to resume talks. | can carefully mull the significance",medium
"expressive | In her view, Tsai said, both sides have been endeavoring to prevent the results of Taiwan's recent parliamentary and local government chief elections from affecting the stability of cross-strait relations. | have been endeavoring to prevent",low
"expressive | However, Chen said ""one China ""should not be a precondition for talks until such time as Taipei and Beijing have reached a mutually acceptable meaning for the the term through ""wisdom and creativity."" | until such time",medium
"expressive | ""It all depends on how mainland China interprets President Chen's latest remarks on cross-strait relations and how the two sides cultivate an environment favorable for resumption of their long-stalled dialogue, ""Tsai explained. | It all depends",low
"expressive | The problem, he went on, is that the so-called ""one China ""principle cherished by Beijing ""makes the Republic of China vanish.""Therefore, as a guardian of the ROC sovereignty, dignity and security, he cannot accept the principle. | The problem, he went on, is",low
"expressive | Tsai said although the spokesman for mainland China's Taiwan Affairs Office failed to give any positive response to Taiwan's goodwill in his first post-Taiwan election news conference, he appeared to be fully aware of the importance of maintaining stability in the Taiwan Strait. | appeared to be fully aware",low
"expressive | Noting that President Chen Shui-bian has on many occasions expressed goodwill to mainland China, Tsai said so long as Beijing leaders can carefully mull the significance of Chen's statements on cross-strait affairs, particularly the ""one China ""issue, there should be opportunities for the two sides to resume talks. | so long as",low
expressive | However he stressed that Taiwan remained the crucial issue between the two. | However,low
"expressive | The tone of Tang's press conference was markedly different to that of last year's equivalent event, during which he roundly criticised United States arms sales to Taiwan. | markedly different",medium
"expressive | Tang called on Washington to uphold the so-called ""one China policy ""-- the centrepiece of Beijing's dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington's arms sales to Taipei. | but",low
expressive | China will seek to improve the relationship still further during visits by President Jiang Zemin and Vice President Hu Jintao to Washington later this year. | still further,low
"expressive | ""We are ready to work together with the US side to narrow differences, expand common ground, increase exchanges and promote cooperation in order to further push forward the constructive and cooperative ties, ""Foreign Minister Tang Jiaxuan told journalists. | further push forward",low
"expressive | When asked whether the anti-terror alliance meant good relations between the country were based purely on expediency, Tang disagreed, saying cooperation ""was long-term "". | was long-term",medium
expressive | Sino-US ties have greatly improved since Beijing backed the US fight against global terrorism and its bombing campaign of terrorist targets in Afghanistan following the September 11 terrorist attacks on the United States. | greatly improved,medium
"expressive | Tang conceded there had been ""twists and turns ""following US President George W. Bush's accession to the US presidency in early last year, but said the relationship had improved with Bush's visits to China in October and last month. | had improved",medium
"expressive | Even when the perennially divisive issue of Taiwan was raised by reporters, he offered only mild and routine criticism of US policy towards the island. | perennially divisive issue of Taiwan",medium
"expressive | ""This is a very important consensus, ""Tang said. | very important consensus",high
"expressive | Tang called on Washington to uphold the so-called ""one China policy ""-- the centrepiece of Beijing's dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington's arms sales to Taipei. | the centrepiece",medium
expressive | China will seek to improve the relationship still further during visits by President Jiang Zemin and Vice President Hu Jintao to Washington later this year. | improve,medium
"expressive | ""I wish to emphasize that the Taiwan question remains the most sensitive and most important issue at the core of the Sino-US relationship, ""he said. | most important",high
"expressive | China had always ""firmly opposed ""the US Taiwan Affairs Act, which mandates by law the US defense of Taiwan and forms the basis for US arms sales to the island, he said. | forms the basis",low
"expressive | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | Overall",low
"expressive | Tang called on Washington to uphold the so-called ""one China policy ""-- the centrepiece of Beijing's dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington's arms sales to Taipei. | uphold",medium
"expressive | Even when the perennially divisive issue of Taiwan was raised by reporters, he offered only mild and routine criticism of US policy towards the island. | only mild and routine",medium
"expressive | Even when the perennially divisive issue of Taiwan was raised by reporters, he offered only mild and routine criticism of US policy towards the island. | Even when",low
"expressive | ""We are ready to work together with the US side to narrow differences, expand common ground, increase exchanges and promote cooperation in order to further push forward the constructive and cooperative ties, ""Foreign Minister Tang Jiaxuan told journalists. | constructive and cooperative ties",medium
"expressive | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | grim and complicated",high
expressive | However he stressed that Taiwan remained the crucial issue between the two. | crucial issue,medium
expressive | Sino-US relations took a more serious dip a month afterwards during a crisis over the collision between a US surveillance plane and a Chinese fighter jet over the South China Sea. | a more serious dip,medium
"expressive | ""President Jiang and President Bush held an important meeting in Shanghai in October where they agreed that both countries would work together to build a constructive and cooperative relationship. | would",low
"expressive | Tang conceded there had been ""twists and turns ""following US President George W. Bush's accession to the US presidency in early last year, but said the relationship had improved with Bush's visits to China in October and last month. | twists and turns",medium
"expressive | Tang called on Washington to uphold the so-called ""one China policy ""-- the centrepiece of Beijing's dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington's arms sales to Taipei. | so-called",medium
"expressive | ""I wish to emphasize that the Taiwan question remains the most sensitive and most important issue at the core of the Sino-US relationship, ""he said. | at the core",medium
"expressive | BEIJING, March 6 (AFP) -- China's foreign minister on Wednesday pledged to expand ""constructive and cooperative ""relations with the United States, in a notably conciliatory performance at his annual get-together with the media. | notably conciliatory performance",high
"expressive | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | main themes",medium
expressive | US accusations of China's alleged proliferation of weapons of mass destruction have long been countered by Beijing with loud opposition to US weapon sales to Taiwan. | long been,low
"expressive | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | remained",low
"sentiment | China had always ""firmly opposed ""the US Taiwan Affairs Act, which mandates by law the US defense of Taiwan and forms the basis for US arms sales to the island, he said. | firmly opposed",medium high
"arguing | The tone of Tang's press conference was markedly different to that of last year's equivalent event, during which he roundly criticised United States arms sales to Taiwan. | was markedly different to that of last year's equivalent event, during which he roundly criticised United States arms sales to Taiwan",medium
"sentiment | Tang conceded there had been ""twists and turns ""following US President George W. Bush's accession to the US presidency in early last year, but said the relationship had improved with Bush's visits to China in October and last month. | conceded there had been ""twists and turns ""following",low medium
"arguing | When asked whether the anti-terror alliance meant good relations between the country were based purely on expediency, Tang disagreed, saying cooperation ""was long-term "". | was long-term",medium
intention | In a press conference on the sidelines of the current full session of parliament -- his annual opportunity to present China's foreign policy objectives to the outside world -- Tang largely steered clear of subjects over which Beijing and Washington disagree. | foreign policy objectives,low medium
"intention | BEIJING, March 6 (AFP) -- China's foreign minister on Wednesday pledged to expand ""constructive and cooperative ""relations with the United States, in a notably conciliatory performance at his annual get-together with the media. | pledged to",medium high
"arguing | Tang called on Washington to uphold the so-called ""one China policy ""-- the centrepiece of Beijing's dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington's arms sales to Taipei. | categorises the island is an inalienable part of mainland territory",medium high
"sentiment | ""We are ready to work together with the US side to narrow differences, expand common ground, increase exchanges and promote cooperation in order to further push forward the constructive and cooperative ties, ""Foreign Minister Tang Jiaxuan told journalists. | in order to further push forward",medium
"arguing | ""I wish to emphasize that the Taiwan question remains the most sensitive and most important issue at the core of the Sino-US relationship, ""he said. | wish to emphasize that the Taiwan question remains the most sensitive and most important issue at the core of the Sino-US relationship",high
"sentiment | Tang conceded there had been ""twists and turns ""following US President George W. Bush's accession to the US presidency in early last year, but said the relationship had improved with Bush's visits to China in October and last month. | the relationship had improved with",low medium
"sentiment | ""This is a very important consensus, ""Tang said. | is a very important consensus",medium high
sentiment | US accusations of China's alleged proliferation of weapons of mass destruction have long been countered by Beijing with loud opposition to US weapon sales to Taiwan. | accusations of China's alleged proliferation of weapons of mass destruction,medium high
sentiment | China will seek to improve the relationship still further during visits by President Jiang Zemin and Vice President Hu Jintao to Washington later this year. | will seek to,low medium
"sentiment | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | a ""grim and complicated",medium
"arguing | Overall, despite a ""grim and complicated ""post September 11 international order, China still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment, Tang said. | still maintained that ""peace, stability and development ""remained the main themes characterizing the world environment",medium
"arguing | ""This is a very important consensus, ""Tang said. | is a very important consensus",medium high
"sentiment | Even when the perennially divisive issue of Taiwan was raised by reporters, he offered only mild and routine criticism of US policy towards the island. | offered only mild and routine criticism of",low medium
sentiment | Sino-US ties have greatly improved since Beijing backed the US fight against global terrorism and its bombing campaign of terrorist targets in Afghanistan following the September 11 terrorist attacks on the United States. | backed,medium
"agreement | ""President Jiang and President Bush held an important meeting in Shanghai in October where they agreed that both countries would work together to build a constructive and cooperative relationship. | agreed",medium
"expressive | ""We hope that people will keep calm. | keep calm",medium
"expressive | ""Bush hopes to take advantage of his trip to forge a consensus with U.S. allies in the Asia-Pacific area on his administration's fight against terrorism and the proliferation of nuclear weapons. | take advantage",low
expressive | Chien said he appreciated statements made by Bush prior to his departure that Taiwan is a friend of the United States and that the Taiwan Strait issue should be resolved peacefully. | should,medium
expressive | Chien said he appreciated statements made by Bush prior to his departure that Taiwan is a friend of the United States and that the Taiwan Strait issue should be resolved peacefully. | peacefully,low
"expressive | They need not be nervous, ""he said. | need not be nervous",medium
"expressive | ""The task force is working around the clock to monitor Bush's visit to Japan, south Korea and mainland China, ""he added. | working around the clock",low
"intention | ""The United States has more than once briefed us on the main purposes of Bush's Asia tour before his departure and repeatedly guaranteed that Taiwan's interests won't be sacrificed during Bush's trip, ""Chien told a news conference. | repeatedly guaranteed",medium high
"sentiment | ""The United States has more than once briefed us on the main purposes of Bush's Asia tour before his departure and repeatedly guaranteed that Taiwan's interests won't be sacrificed during Bush's trip, ""Chien told a news conference. | repeatedly guaranteed that Taiwan's interests won't be sacrificed during Bush's trip",medium
arguing | Chien said he appreciated statements made by Bush prior to his departure that Taiwan is a friend of the United States and that the Taiwan Strait issue should be resolved peacefully. | should be resolved peacefully,medium
