input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
"arguing | Since the Sept. 11 terrorist attacks in New York and Washington, investors across the world have been mired in uncertainties, Chen said, adding that should the war against Afghanistan not spread too much, the impact on the global economy will be limited. | have been mired in uncertainties",positive
"arguing | Wu Hui-lin, a researcher at Change Hua Institution for Economic Research, however, predicted that business conditions in the world market would rebound very robustly in the short term, as the new hi-tech war will not last long and ""high-risks will bring about high investment returns."" | will not last long",negative
"sentiment | Taipei, Oct. 8 (CNA) -- The United States military action in Afghanistan will help spur global investment sentiment by brushing aside many uncertain factors, Council for Economic Planning and Development (CEPD) Chairman Chen Po-chih said Monday. | will help spur global investment sentiment by brushing aside many uncertain factors",positive
"sentiment | Since the Sept. 11 terrorist attacks against the United States, countries across the world have been closely monitoring subsequent developments and have taken measures to cope with possible situations, Wu said, noting that short-term pains will eventually pass and everyday life will get back to normal soon. | short-term pains will eventually pass and everyday life will get back to normal soon",positive
"sentiment | Moreover, Taleban fighters ""not stained with blood ""could be in this government, too, he said. | could be in this government, too",positive
"intention | Dostum said he intends to serve in the future Afghan government, representing ethnic Uzbeks. | intends to",positive
arguing | He also denied reports that the Taleban had concentrated large forces near the border with Uzbekistan. | had concentrated large forces near the border with Uzbekistan,positive
"arguing | The source, interviewed by Interfax in Grozny, expressed confidence that that the command of the Russian forces in Chechnya would soon ""be able to obtain documentary confirmation ""that Khattab was dead. | expressed confidence that that the command of the Russian forces in Chechnya would soon ""be able to obtain documentary confirmation ""that Khattab was dead",positive
"arguing | The MOFA spokeswoman affirmed that from the angle of Eastern and Western cultural exchanges, the sponsoring of similar conferences will be instrumental to mainland Chinese people's better understanding of Catholicism and its contributions to Chinese society. | affirmed that from the angle of Eastern and Western cultural exchanges, the sponsoring of similar conferences will be instrumental to mainland Chinese people's better understanding of Catholicism and its contributions to Chinese society",positive
arguing | Chang also reaffirmed the solid and cordial diplomatic links between the Republic of China and the Vatican. | reaffirmed the solid and cordial,positive
"sentiment | The test, which was carried out in conformity with the rules for such cases, raised suspicions of BSE, which were later confirmed. | suspicions of",negative
"sentiment | Taipei, Aug. 17 (CNA) -- The Republic of China [ROC] government will push for Chinese language education among the vast number of Chinese communities in Southeast Asia, a high-ranking ROC official said Friday. | will push for",positive
"sentiment | The minister went on to say that although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities. | support of",positive
"arguing | The minister went on to say that although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities. | although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities",positive
"arguing | Chang said after visiting Chinese communities in the United States, New Zealand and Southeast Asia that education and cultural work needs to be further strengthened in the Chinese communities in Southeast Asia. | needs to be further strengthened in the Chinese communities in Southeast Asia",positive
intention | The visit is aimed at strengthening military relations between the two countries. | aimed at,positive
"sentiment | ""It was not only an attack on our global village, but the foundations of democracy. | was not only an attack on our global village, but the foundations of democracy",negative
"sentiment | ""We learnt of the attacks with great shock and sorrow, ""the ministers said. | learnt of the attacks with great shock and sorrow",negative
"arguing | ""It was not only an attack on our global village, but the foundations of democracy. | was not only an attack on our global village, but the foundations of democracy",positive
"arguing | ""This signing sends a message to SADC of the importance with which the new US administration views regional integration in southern Africa, ""US ambassador to Botswana John Lange, who is also the special representative of the US government to SADC, said. | sends a message to SADC of the importance with which the new US administration views regional integration in southern Africa",positive
"sentiment | ""The SADC secretariat condemns unreservedly and in the strongest terms this act of terrorism, ""he said. | condemns unreservedly and in the strongest terms",negative
"sentiment | ""This signing sends a message to SADC of the importance with which the new US administration views regional integration in southern Africa, ""US ambassador to Botswana John Lange, who is also the special representative of the US government to SADC, said. | the importance with which the new US administration views",positive
"sentiment | The people of the US are known for their strong sense of justice which will no doubt see them through this trying time and bring the culprits to book."" | are known for their strong sense of justice",positive
"sentiment | Replying, Lange said: ""The day September 11, 2001 has become one of the worst days in American history. | The day September 11, 2001 has become one of the worst days in American history",negative
"sentiment | ""We strongly condemn this ghastly and barbaric act of terrorism and wanton destruction of property and the loss of innocent lives. | strongly condemn",negative
"arguing | ""This signing sends a message to SADC of the importance with which the new US administration views regional integration in southern Africa, ""US ambassador to Botswana John Lange, who is also the special representative of the US government to SADC, said. | the importance with which the new US administration views",positive
"arguing | The people of the US are known for their strong sense of justice which will no doubt see them through this trying time and bring the culprits to book."" | will no doubt see them through this trying time and bring the culprits to book",positive
"arguing | ""March appears to be a more reasonable estimate while earlier admission cannot be entirely ruled out, ""according to Chen, also Taiwan's chief WTO negotiator. | cannot be entirely ruled out",negative
"arguing | ""March appears to be a more reasonable estimate while earlier admission cannot be entirely ruled out, ""according to Chen, also Taiwan's chief WTO negotiator. | appears to be a more reasonable estimate",positive
"arguing | Instead, service ventures in the financial, transport and telecom sectors should benefit from the introduction of advanced skills and expertise from abroad, he added. | should benefit from the introduction of advanced skills and expertise from abroad",positive
"arguing | In neighboring Hetian city, a hotbed of Muslim separatists in the impoverished southern part of Xinjiang that also borders Pakistan, the situation was also ""peaceful "", said an official at the city's foreign affairs office. | a hotbed of Muslim separatists",positive
"sentiment | There have been a series of bomb blasts in recent years in Urumqi and Beijing, linked to Xinjiang separatists seeking to establish an independent state of East Turkistan. | seeking to",positive
"sentiment | China has been keeping a particularly close eye on the situation in Xinjiang as expectation mounts the US will launch military action against Afghanistan, home to the suspected mastermind of the terror attacks, Osama bin Laden [Usama Bin Ladin]. | suspected mastermind of the terror attacks",negative
"sentiment | The French head of state, who is spending the seasonal holiday at the Bregancon fort in the Var [department], took the initiative of telephoning his Pakistani opposite number to convey ""his very strong concern at the rising tension between India and Pakistan "", the same source said. | very strong concern at",negative
"sentiment | Paris, 28 December (AFP): President Jacques Chirac urged a ""de-escalation ""between India and Pakistan during a telephone conversation on Friday [28 December] evening with Pakistani President Pervez Musharraf, the Elysee [French presidency] said. | urged",positive
"arguing | ""Everything must be done by everyone to bring about de-escalation, ""Mr Chirac added. | Everything must be done by everyone to bring about de-escalation",positive
"sentiment | ""Everything must be done by everyone to bring about de-escalation, ""Mr Chirac added. | Everything must be done by everyone to bring about",positive
"sentiment | Sharon, who used to be a colonel and who is directly responsible for the massacre in the Beirut camps Sabra and Shatila, used his return to power as an opportunity to settle the accounts with his years-long enemies. | used his return to power as an opportunity to settle the accounts with his years-long enemies",negative
"intention | Israel did not even have the goodness to look at this plan, demonstrating arrogance toward everything Arab. | plan",positive
"arguing | Sharon, who used to be a colonel and who is directly responsible for the massacre in the Beirut camps Sabra and Shatila, used his return to power as an opportunity to settle the accounts with his years-long enemies. | used his return to power as an opportunity to settle the accounts with his years-long enemies",positive
"arguing | With an average $3 billion military aid for Israel and a strong Jewish lobby at home, the Untied States cannot play any other role in the Middle East conflict but protector of the Israeli state. | cannot play any other role in the Middle East conflict but protector of the Israeli state",negative
"sentiment | Europe does not have a united stance on the violence in Ramallah, Nablus, Bethlehem, and the Palestinian refugee camps, despite the clear situation that Israel is the only country in the world that secures its borders by occupying territories of another state. | is the only country in the world that secures its borders by occupying territories of another state",negative
"arguing | Europe does not have a united stance on the violence in Ramallah, Nablus, Bethlehem, and the Palestinian refugee camps, despite the clear situation that Israel is the only country in the world that secures its borders by occupying territories of another state. | the clear situation that Israel is the only country in the world that secures its borders by occupying territories of another state",positive
"arguing | Powell's words, ""we are working on this plan, ""are unclear, because he did not say what the plan is, and Israel's call for a conference on the Middle East is also unclear. | is also unclear",negative
"sentiment | It would be entirely improper if, in its defense of Israel, the United States continues to exert pressure on neighboring Arab countries, such as, Syria and Lebanon, which have been accused of supporting terrorist organizations, such as the Hezbolah. | have been accused of supporting terrorist organizations, such as the Hezbolah",negative
"arguing | It would be entirely improper if, in its defense of Israel, the United States continues to exert pressure on neighboring Arab countries, such as, Syria and Lebanon, which have been accused of supporting terrorist organizations, such as the Hezbolah. | have been accused of supporting terrorist organizations, such as the Hezbolah",positive
"intention | It is worrying that among Powell's priorities in Beirut were the talks on the activities of the Hezbolah, with an announcement that terrorists might open a new front. | priorities",positive
"sentiment | In the same manner Israel asked Arafat to leave Ramallah and Palestine, labeling him a troublemaker and politician incapable of controlling the Palestinian suicide bombers. | labeling him a troublemaker and politician incapable of controlling the Palestinian suicide bombers",negative
"sentiment | In its warnings and appeals for peace, the United States openly ""takes a side ""in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York. | warnings",negative
"arguing | In relation to the first ambiguity, Powell's words definitely cannot be taken seriously, considering that precisely Washington is the one that has been practicing a one-sided approach to the events in the Middle East for 18 months now and it was the chief opponent of the positioning of peace troops between the two warring sides. | definitely cannot be taken seriously",negative
"sentiment | It would be entirely improper if, in its defense of Israel, the United States continues to exert pressure on neighboring Arab countries, such as, Syria and Lebanon, which have been accused of supporting terrorist organizations, such as the Hezbolah. | It would be entirely improper if",negative
sentiment | The international community received a lot of negative points for the Middle East. | received a lot of negative points,negative
"sentiment | Israel did not even have the goodness to look at this plan, demonstrating arrogance toward everything Arab. | arrogance",positive
"arguing | In some circles, these concerns over an alleged new front are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one. | alleged",positive
"arguing | But the current development of events, that is, the standstill situation, makes it clear that US foreign policy has been put to a very serious test in which the United States needs to discipline its decades-long ally, Israel, and not ruin its relations with the Arabs. | has been put to a very serious test in which the United States needs to discipline its decades-long ally, Israel,",positive
"sentiment | In some circles, these concerns over an alleged new front are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one. | are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one",negative
"sentiment | His task was to create ""a peaceful environment ""in the region currently affected by an unrecognized and undeclared war between Israel and Palestine. | undeclared war between",negative
"sentiment | It would be entirely improper if, in its defense of Israel, the United States continues to exert pressure on neighboring Arab countries, such as, Syria and Lebanon, which have been accused of supporting terrorist organizations, such as the Hezbolah. | supporting",positive
"agreement | In its warnings and appeals for peace, the United States openly ""takes a side ""in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York. | takes a side",positive
"sentiment | The EU's efforts and US President Bush's peace initiative through Secretary of State Powell seem like a late resolution, considering that approximately one month ago the Arab countries participating in the summit in Beirut held out an olive branch to Israel through the plan of Saudi Arabia's heir to the throne, Prince Abdullah, which contained two points: recognition of a Palestinian state [as published] in an Arab neighborhood, in return for recognition of the Palestinians'right to their own country. | held out an olive branch to",positive
"arguing | But the current development of events, that is, the standstill situation, makes it clear that US foreign policy has been put to a very serious test in which the United States needs to discipline its decades-long ally, Israel, and not ruin its relations with the Arabs. | has been put to a very serious test in which the United States needs to discipline its decades-long ally, Israel, and not ruin its relations with the Arabs",negative
"sentiment | It is worrying that among Powell's priorities in Beirut were the talks on the activities of the Hezbolah, with an announcement that terrorists might open a new front. | is worrying that",negative
"sentiment | In relation to the first ambiguity, Powell's words definitely cannot be taken seriously, considering that precisely Washington is the one that has been practicing a one-sided approach to the events in the Middle East for 18 months now and it was the chief opponent of the positioning of peace troops between the two warring sides. | considering that precisely Washington is the one that has been practicing a one-sided approach to the events in the Middle East for 18 months now",negative
"sentiment | In its warnings and appeals for peace, the United States openly ""takes a side ""in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York. | openly ""takes a side ""in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York",negative
"sentiment | Maybe Joschka Fischer's plan for suspending Germany's military aid for Israel, that is, possible EU economic sanctions against Tel Aviv is honorable, but it is a late and disturbingly long-term plan. | but it is a late and disturbingly long-term",negative
"intention | Maybe Joschka Fischer's plan for suspending Germany's military aid for Israel, that is, possible EU economic sanctions against Tel Aviv is honorable, but it is a late and disturbingly long-term plan. | plan",positive
"sentiment | In the same manner Israel asked Arafat to leave Ramallah and Palestine, labeling him a troublemaker and politician incapable of controlling the Palestinian suicide bombers. | asked",positive
"sentiment | Israel did not even have the goodness to look at this plan, demonstrating arrogance toward everything Arab. | did not even have the goodness to look at this plan, demonstrating arrogance toward everything Arab",negative
"arguing | The EU's efforts and US President Bush's peace initiative through Secretary of State Powell seem like a late resolution, considering that approximately one month ago the Arab countries participating in the summit in Beirut held out an olive branch to Israel through the plan of Saudi Arabia's heir to the throne, Prince Abdullah, which contained two points: recognition of a Palestinian state [as published] in an Arab neighborhood, in return for recognition of the Palestinians'right to their own country. | seem like a late resolution",positive
"sentiment | Powell's words, ""we are working on this plan, ""are unclear, because he did not say what the plan is, and Israel's call for a conference on the Middle East is also unclear. | call for",positive
"sentiment | In relation to the first ambiguity, Powell's words definitely cannot be taken seriously, considering that precisely Washington is the one that has been practicing a one-sided approach to the events in the Middle East for 18 months now and it was the chief opponent of the positioning of peace troops between the two warring sides. | chief opponent of",negative
"sentiment | The hero of the Gulf War, Colin Powell, did not exactly cover himself in glory in his diplomatic mission to the Middle East as the US president's envoy. | did not exactly cover himself in glory in his diplomatic mission to the Middle East as the US president's envoy",negative
"intention | The EU's efforts and US President Bush's peace initiative through Secretary of State Powell seem like a late resolution, considering that approximately one month ago the Arab countries participating in the summit in Beirut held out an olive branch to Israel through the plan of Saudi Arabia's heir to the throne, Prince Abdullah, which contained two points: recognition of a Palestinian state [as published] in an Arab neighborhood, in return for recognition of the Palestinians'right to their own country. | plan",positive
"arguing | In some circles, these concerns over an alleged new front are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one. | are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one",positive
"sentiment | In some circles, these concerns over an alleged new front are seen as an attempt to resolve the smaller Israel-Palestine problem with a bigger one. | concerns over",negative
"sentiment | It would be entirely improper if, in its defense of Israel, the United States continues to exert pressure on neighboring Arab countries, such as, Syria and Lebanon, which have been accused of supporting terrorist organizations, such as the Hezbolah. | defense of",positive
"sentiment | In its warnings and appeals for peace, the United States openly ""takes a side ""in this conflict, labeling the other side terrorists, similar to those who carried out the attacks on the Twin Towers in New York. | labeling the other side terrorists",negative
"intention | Maybe Joschka Fischer's plan for suspending Germany's military aid for Israel, that is, possible EU economic sanctions against Tel Aviv is honorable, but it is a late and disturbingly long-term plan. | plan for",positive
arguing | Another deep-rooted fact is that the organizations of the Palestinian resistance still preserve their organizational structure and are also characterized by their superb ability to renew their leaders and replace the ones who fall along the path of martyrdom. | are also characterized by their superb ability to renew their leaders and replace the ones who fall along the path of martyrdom,positive
"arguing | These criminals know this fact, as much as we, the Arabs, do, because they are in direct contact with it. | know this fact, as much as we, the Arabs, do, because they are in direct contact with it",positive
arguing | It is thus an illusion for these criminal administrations to imagine that they have triumphed and that they are now in a position to dictate their own conditions on this great people. | It is thus an illusion for these criminal administrations to,negative
"sentiment | Therefore, the two administrations, from the position of a ""victor, ""have called for an international or regional peace conference. | have called for",positive
"sentiment | As has been acknowledged by Uri Avneri, a veteran Zionist writer, the intifadah's structure ""exists within millions of Palestinians and also within tens of millions of Arabs in whose chests the fire of anger is blazing."" | in whose chests the fire of anger is blazing",negative
sentiment | It is thus an illusion for these criminal administrations to imagine that they have triumphed and that they are now in a position to dictate their own conditions on this great people. | great,positive
"arguing | The real victor in this battle is, in fact, the Palestinian people and not the Zionists. | The real victor in this battle is, in fact, the Palestinian people and not",negative
"sentiment | The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force ""can break the Palestinian people's will and impose on this people what other means failed to impose. | will",positive
"arguing | In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table. | convince",positive
"arguing | As for the towns and refugee camps that have been destroyed, they will soon be reconstructed by the Palestinian people who have skillfully adapted themselves to the most difficult circumstances. | will soon be reconstructed by the Palestinian people",positive
"sentiment | In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table. | will set their own conditions at the table",negative
"sentiment | The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force ""can break the Palestinian people's will and impose on this people what other means failed to impose. | the illusion that ""force ""can break the Palestinian people's will",positive
"sentiment | Therefore, the two administrations, from the position of a ""victor, ""have called for an international or regional peace conference. | from the position of a ""victor, """,negative
"intention | The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force ""can break the Palestinian people's will and impose on this people what other means failed to impose. | will",positive
"arguing | As for the intifadah's infrastructure, it has actually widened and turned into volcanoes that are boiling with rage. | has actually widened and turned into volcanoes that are boiling with rage",positive
"sentiment | Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs'recognition of this entity's right to exist ""is now more distant than before despite some official Arab ""recognitions."" | the Arabs'recognition of this entity's right to exist ""is now more distant than before",negative
"arguing | In addition, it is now more impossible than ever to control the movement of three million Palestinians. | it is now more impossible than ever to control",negative
"sentiment | The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force ""can break the Palestinian people's will and impose on this people what other means failed to impose. | the crime",negative
sentiment | The Zionist and US administrations have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah. | have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah,negative
"sentiment | As for the towns and refugee camps that have been destroyed, they will soon be reconstructed by the Palestinian people who have skillfully adapted themselves to the most difficult circumstances. | skillfully adapted themselves to the most difficult circumstances",positive
"arguing | It is true that the Palestinian towns are now under occupation, that the Palestinian Authority's institutions have been destroyed, and that Arafat is still besieged at his office as a hostage. | It is true",positive
"arguing | Millions of Arabs, Palestinians and non-Palestinians alike, now have a conviction stronger than before to the effect that it is impossible to achieve ""coexistence ""with this usurping, occupying, aggressive, and racist entity. | have a conviction stronger than before to the effect that it is impossible to achieve ""coexistence ""with this usurping, occupying, aggressive, and racist entity",negative
"arguing | Most importantly, however, these criminals will have the largest illusion if they imagine that they have succeeded in liquidating the intifadah and destroying its infrastructure after having succeeded in liquidating or arresting a small or large number of the intifadah's leaders and strugglers | have succeeded in liquidating the intifadah and destroying its infrastructure",positive
"sentiment | It is also true that thousands of Palestinians and their leaders are held hostage, and that the entire Palestinian people are now experiencing the utmost suffering as part of their daily lives. | It is also true that thousands of Palestinians and their leaders are held hostage, and that the entire Palestinian people are now experiencing the utmost suffering as part of their daily lives",negative
"arguing | The conclusion to which we come is that the Zionist and US administrations have aggravated the Zionist entity's historical impasse through the crime they have committed together when they had the illusion that ""force ""can break the Palestinian people's will and impose on this people what other means failed to impose. | can break the Palestinian people's will and impose on this people what other means failed to impose",positive
"arguing | For many reasons, the occupation of Palestinian towns cannot last, so the Zionist forces will have to withdraw from these towns sooner or later. | will have to withdraw from these towns sooner or later",positive
"sentiment | He added: ""If more fighters and martyrdom-seeking ones fall, other fighters and martyrdom-seeking ones will emerge, who are ready to follow in their footsteps."" | will emerge, who are ready to follow in their footsteps",positive
"arguing | The Zionists have succeeded in achieving these things, but a deep-rooted fact is that they have not succeeded, and will never succeed, in breaking the will of this valiant people or in forcing the Palestinians into relinquishing their just, legitimate rights and ending their glorious struggle for these rights. | a deep-rooted fact is",positive
arguing | The Zionist and US administrations have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah. | have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah,positive
sentiment | It is thus an illusion for these criminal administrations to imagine that they have triumphed and that they are now in a position to dictate their own conditions on this great people. | have triumphed,positive
"sentiment | Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs'recognition of this entity's right to exist ""is now more distant than before despite some official Arab ""recognitions."" | is constantly aggravating",negative
"arguing | For many reasons, the occupation of Palestinian towns cannot last, so the Zionist forces will have to withdraw from these towns sooner or later. | cannot last",negative
arguing | This is actually one of the deep-rooted facts. | is actually one of the deep-rooted facts,positive
"sentiment | These criminals know this fact, as much as we, the Arabs, do, because they are in direct contact with it. | criminals",negative
"arguing | The real victor in this battle is, in fact, the Palestinian people and not the Zionists. | he real victor in this battle is, in fact",positive
"arguing | Most importantly, however, these criminals will have the largest illusion if they imagine that they have succeeded in liquidating the intifadah and destroying its infrastructure after having succeeded in liquidating or arresting a small or large number of the intifadah's leaders and strugglers | will have the largest illusion if they imagine that they have succeeded in liquidating the intifadah and destroying its infrastructure after having succeeded in liquidating or arresting a small or large number of the intifadah's leaders and strugglers",positive
"sentiment | In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table. | seek to",positive
sentiment | The Zionist and US administrations have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah. | valiant,positive
"agreement | Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs'recognition of this entity's right to exist ""is now more distant than before despite some official Arab ""recognitions."" | recognition",positive
"sentiment | In addition, they seek to convince other parties of these two ideas and are waiting for the concerned parties to agree to them, or, at least, to the first one, after which these two administrations will set their own conditions at the table. | are waiting for",positive
"sentiment | Contrary to the visible scene and to the illusion of Sharon and Bush, this Zionist-US crime has confirmed that the Zionist entity's historical impasse is constantly aggravating and that ""the Arabs'recognition of this entity's right to exist ""is now more distant than before despite some official Arab ""recognitions."" | crime",negative
sentiment | Another deep-rooted fact is that the organizations of the Palestinian resistance still preserve their organizational structure and are also characterized by their superb ability to renew their leaders and replace the ones who fall along the path of martyrdom. | superb,positive
sentiment | It is thus an illusion for these criminal administrations to imagine that they have triumphed and that they are now in a position to dictate their own conditions on this great people. | to dictate,positive
arguing | The Zionist and US administrations have the illusion that they succeeded in defeating the Palestinian people and their valiant intifadah. | the illusion,negative
"sentiment | Most importantly, however, these criminals will have the largest illusion if they imagine that they have succeeded in liquidating the intifadah and destroying its infrastructure after having succeeded in liquidating or arresting a small or large number of the intifadah's leaders and strugglers | have succeeded in liquidating the intifadah and destroying its infrastructure",negative
"arguing | Most importantly, however, these criminals will have the largest illusion if they imagine that they have succeeded in liquidating the intifadah and destroying its infrastructure after having succeeded in liquidating or arresting a small or large number of the intifadah's leaders and strugglers | the largest illusion if",negative
sentiment | Ecolo and Agalev [ecologist parties] are asking for the ending of the bombing of Afghanistan. | are asking for,positive
sentiment | Ecolo and Agalev [ecologist parties] are asking for the ending of the bombing of Afghanistan. | are asking for the ending of,negative
sentiment | The carrying out of the operations in Afghanistan and their mistakes have caused unease in the ruling majority's ranks in Belgium. | unease,negative
sentiment | The PRL [Liberal Reform Party] and the PSC [Christian Social Party] opposition party continue to support the strikes but criticize the fact that the humanitarian operations are taking place alongside them. | criticize,negative
"sentiment | The Palestinian people and the entire Arab World are waiting for a proof that international law protects human beings in general regardless of their color, ethnicity and religion. | The Palestinian people and the entire Arab World are waiting for a proof that international law protects human beings in general regardless of their color, ethnicity and religion",negative
"sentiment | We are waiting to see that international laws are not selective and that they are not applied for political, cultural and ideological considerations. | are waiting to see that international laws are not selective and that they are not applied for political, cultural and ideological considerations",negative
arguing | The Israeli government is committing crimes of war against the Palestinians and should be tried by an international tribunal just like the governments of Rwanda and former Yugoslavia. | is committing crimes of war against the Palestinians,positive
sentiment | The Israeli government is committing crimes of war against the Palestinians and should be tried by an international tribunal just like the governments of Rwanda and former Yugoslavia. | is committing crimes of war against the Palestinians,negative
agreement | The world community should not tolerate crimes of war. | tolerate,positive
sentiment | The news leaked from the reoccupied Palestinian cities confirms that Israeli troops have committed dozens of premeditated massacres against the civilian Palestinian population. | have committed dozens of premeditated massacres against the civilian Palestinian population,negative
arguing | The Israeli government is committing crimes of war against the Palestinians and should be tried by an international tribunal just like the governments of Rwanda and former Yugoslavia. | should be tried by an international tribunal just like the governments of Rwanda and former Yugoslavia,positive
arguing | Israel's atrocities are masterminded by high level Israeli officials including Shimon Peres. | are masterminded by high level Israeli officials including Shimon Peres,positive
sentiment | We expect the World Community to take a step toward referring the Israeli criminals of war to the permanent tribunal for war crimes. | expect the World Community to take a step toward referring the Israeli criminals of war to the permanent tribunal for war crimes,negative
arguing | It is a crime against humanity. | is a crime against humanity,positive
sentiment | People are being killed in masses and buried in collective graves. | People are being killed in masses and buried in collective graves,negative
arguing | We expect the World Community to take a step toward referring the Israeli criminals of war to the permanent tribunal for war crimes. | expect the World Community to take a step toward referring the Israeli criminals of war to the permanent tribunal for war crimes,positive
intention | Israel's atrocities are masterminded by high level Israeli officials including Shimon Peres. | are masterminded,positive
"sentiment | The Palestinian people and the entire Arab World are waiting for a proof that international law protects human beings in general regardless of their color, ethnicity and religion. | are waiting for",positive
sentiment | Israel's atrocities are masterminded by high level Israeli officials including Shimon Peres. | atrocities,negative
sentiment | It is a crime against humanity. | It is a crime against humanity,negative
arguing | The world community should not tolerate crimes of war. | should not tolerate crimes of war,negative
sentiment | This carnage is planned and implemented in compliance with decisions from Israeli field marshals. | This carnage is planned and implemented in compliance with decisions from,negative
arguing | That's why they declared the reoccupied Palestinian cities closed military areas into which media people are not allowed. | s why they declared the reoccupied Palestinian cities closed military areas into which media people are not allowed,positive
arguing | This means we will not need a Security Council resolution to establish the tribunal. | means we will not need a Security Council resolution to establish the tribunal,positive
intention | The bar on the USS Curtis Wilbur with some 346 crew is seen as reflecting Beijing's anger over Washington's decision to allow Taiwanese Defense Minister Tang Yao-ming to visit Florida for a military conference this month. | decision to,positive
"agreement | The last time such a request was turned down was in May last year following the collision of a US spy plane with a Chinese fighter jet in international air space over the South China Sea on April 1, 2001. | was turned down",negative
"sentiment | The last time such a request was turned down was in May last year following the collision of a US spy plane with a Chinese fighter jet in international air space over the South China Sea on April 1, 2001. | request",positive
sentiment | The bar on the USS Curtis Wilbur with some 346 crew is seen as reflecting Beijing's anger over Washington's decision to allow Taiwanese Defense Minister Tang Yao-ming to visit Florida for a military conference this month. | The bar on,negative
sentiment | There were two other similar episodes of permission being denied before that since the 1997 handover of the former British colony to China. | being denied,negative
arguing | The bar on the USS Curtis Wilbur with some 346 crew is seen as reflecting Beijing's anger over Washington's decision to allow Taiwanese Defense Minister Tang Yao-ming to visit Florida for a military conference this month. | is seen as reflecting Beijing's anger over Washington's decision to allow Taiwanese Defense Minister Tang Yao-ming to visit Florida for a military conference this month,positive
sentiment | The bar on the USS Curtis Wilbur with some 346 crew is seen as reflecting Beijing's anger over Washington's decision to allow Taiwanese Defense Minister Tang Yao-ming to visit Florida for a military conference this month. | anger over,negative
"sentiment | ""The Chinese government denied a requested visit by the USS Curtis Wilbur, a destroyer, to visit Hong Kong from April 5 to 9, ""she said adding, ""this would have been a routine port call."" | denied",negative
"sentiment | ""The Chinese government denied a requested visit by the USS Curtis Wilbur, a destroyer, to visit Hong Kong from April 5 to 9, ""she said adding, ""this would have been a routine port call."" | requested",positive
arguing | Saeed said indications were that those tests would be negative too. | would be negative too,positive
"sentiment | Touching on the importance of modern technology in preventing and reducing crimes in society, Parvin also thanked the active participation of local and foreign companies at Iran's First International Police and Security Equipment exhibition. | thanked",positive
"sentiment | Pointing to the presence of Interpol officers and the representatives, ambassadors and military attaches from different countries, including Russia, Saudi Arabia, Slovakia and Italy, Parvin said despite the fact that it was the first exhibition of its kind in Iran, it was extensively welcomed by many companies. | extensively welcomed",positive
"sentiment | At the ceremony, which was held in the presence of some security and government officials as well as a large number of foreign ambassadors and military attaches from 15 foreign countries, the participants praised those companies which emerged superior at the exhibition. | praised",positive
